id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Arrival Delay in Minutes_width_bin,Departure Delay in Minutes_width_bin,Arrival Delay in Minutes_depth_bin,Departure Delay in Minutes_depth_bin,flight_distance_minmax,flight_distance_zscore
108224,Male,Loyal Customer,46,Business travel,Business,2871,3,4,1,4,2,4,3,3,3,3,3,2,3,2,9,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.5758313057583131,1.6922129806131472
19021,Male,Loyal Customer,64,Personal Travel,Eco,788,3,5,3,1,2,3,2,2,5,4,4,5,4,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.15348742903487428,-0.3991287200443926
76100,Male,Loyal Customer,35,Personal Travel,Eco,669,2,5,2,2,2,2,2,2,4,2,5,3,5,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.12935928629359286,-0.5186052742346218
125054,Female,Loyal Customer,61,Personal Travel,Eco Plus,2300,3,4,3,3,3,1,1,2,2,5,1,1,3,1,17,66.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(2.0, 19.0]",0.4600567721005677,1.1189263214314598
96123,Male,Loyal Customer,62,Personal Travel,Eco Plus,1235,1,5,1,3,2,1,2,2,5,3,4,4,4,2,1,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.2441200324412003,0.04966136166176213
98531,Male,Loyal Customer,23,Personal Travel,Eco,668,2,5,2,3,2,2,2,2,4,3,5,5,5,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.12915652879156528,-0.5196092788916825
19479,Male,Loyal Customer,28,Business travel,Business,3989,2,3,3,3,3,3,2,3,3,3,4,4,4,3,62,88.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.8025141930251419,2.8146901872070647
62442,Female,Loyal Customer,41,Personal Travel,Eco,1943,2,5,1,1,1,4,5,3,5,5,4,5,3,5,165,130.0,neutral or dissatisfied,"(101.1, 202.2]","(101.7, 203.4]","(19.0, 1011.0]","(19.0, 1017.0]",0.38767234387672345,0.7604966588607723
105394,Female,Loyal Customer,62,Personal Travel,Eco,369,3,4,3,2,4,3,4,3,3,3,3,1,3,5,5,7.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.06853203568532036,-0.8198066713528464
92544,Male,Loyal Customer,32,Personal Travel,Eco,2092,3,4,3,5,4,3,5,4,3,4,4,5,4,4,8,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.41788321167883213,0.9100933527628239
39603,Male,Loyal Customer,60,Personal Travel,Eco,954,2,3,2,2,2,2,2,2,5,3,5,3,5,2,6,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.18714517437145176,-0.2324639469723083
41395,Female,disloyal Customer,34,Business travel,Eco,563,1,3,1,3,2,1,2,2,3,3,4,4,4,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.10786699107866991,-0.6250297678830611
84296,Female,Loyal Customer,34,Business travel,Business,235,2,5,5,5,4,4,4,2,2,2,2,4,2,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.0413625304136253,-0.9543432953989868
5668,Male,disloyal Customer,47,Business travel,Eco,436,3,3,3,3,4,3,4,4,3,4,3,1,4,4,16,22.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(2.0, 19.0]",0.08211678832116788,-0.7525383593297762
109562,Male,Loyal Customer,26,Personal Travel,Eco,861,2,4,2,4,4,2,4,4,4,2,5,5,5,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.16828872668288727,-0.32583638007895793
112160,Female,Loyal Customer,25,Business travel,Business,895,1,3,1,1,1,1,1,1,3,4,4,4,3,1,38,34.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.17518248175182483,-0.2917002217388925
76085,Male,Loyal Customer,33,Business travel,Business,2688,1,5,2,5,1,1,1,1,3,4,3,4,4,1,14,8.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.5387266828872669,1.5084801283710303
20817,Male,disloyal Customer,35,Business travel,Eco,515,4,3,5,3,1,5,1,1,1,3,4,3,3,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.09813463098134631,-0.673221991421977
123917,Male,Loyal Customer,14,Personal Travel,Eco,546,1,5,2,3,2,2,5,2,4,2,1,4,1,2,18,23.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(2.0, 19.0]",0.10442011354420114,-0.6420978470530938
129383,Female,Loyal Customer,15,Personal Travel,Eco,2454,4,5,4,4,5,4,5,5,4,4,3,4,4,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.4912814274128143,1.273543038618815
6208,Male,disloyal Customer,34,Business travel,Business,462,1,1,1,1,5,1,3,5,5,3,5,5,4,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.08738848337388483,-0.7264342382461967
83095,Male,Loyal Customer,53,Personal Travel,Eco,1084,2,4,2,4,2,2,2,2,4,4,4,5,5,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.21350364963503649,-0.10194334155441094
42427,Female,Loyal Customer,54,Personal Travel,Eco Plus,451,3,4,2,4,3,5,5,1,1,2,1,5,1,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.0851581508515815,-0.737478289473865
20267,Female,Loyal Customer,61,Business travel,Business,2947,2,2,2,2,3,4,4,2,2,2,2,4,2,2,29,15.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(19.0, 1017.0]",0.5912408759124088,1.7685173345497642
51046,Female,Loyal Customer,15,Personal Travel,Eco,78,3,1,3,3,4,3,4,4,1,4,4,2,3,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.009529602595296026,-1.1119720265575244
79784,Female,Loyal Customer,43,Personal Travel,Business,1005,3,4,3,5,5,5,4,1,1,3,1,3,1,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.19748580697485807,-0.1812597094622101
27091,Male,Loyal Customer,31,Personal Travel,Business,1721,3,3,3,2,5,3,3,5,3,5,2,1,2,5,66,54.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.3426601784266018,0.5376076249932861
28990,Male,Loyal Customer,13,Business travel,Business,2627,3,5,5,5,3,3,3,3,4,2,4,2,3,3,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.5263584752635847,1.4472358442903246
21688,Female,Loyal Customer,52,Business travel,Eco,708,3,1,1,1,3,3,3,1,5,4,3,3,2,3,219,214.0,neutral or dissatisfied,"(202.2, 303.3]","(203.4, 305.1]","(19.0, 1011.0]","(19.0, 1017.0]",0.13726682887266828,-0.4794490926092525
50312,Male,Loyal Customer,54,Business travel,Eco,86,3,1,5,1,3,3,3,3,1,3,4,3,3,3,94,118.0,neutral or dissatisfied,"(101.1, 202.2]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.011151662611516627,-1.1039399893010382
17924,Male,Loyal Customer,69,Personal Travel,Eco,789,4,4,3,4,2,3,4,2,5,2,5,5,4,2,0,19.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]",0.15369018653690186,-0.39812471538733185
126000,Male,Loyal Customer,19,Personal Travel,Business,507,3,5,3,3,5,3,5,5,4,2,5,3,5,5,7,16.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.09651257096512571,-0.6812540286784631
108627,Male,Loyal Customer,29,Business travel,Eco,1547,4,3,3,3,4,4,4,4,1,4,4,4,3,4,5,6.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.3073803730738037,0.36291081466471575
48156,Male,Loyal Customer,72,Business travel,Business,3196,2,5,5,5,1,4,4,2,2,2,2,1,2,4,4,3.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.6417274939172749,2.0185144941578907
20074,Female,Loyal Customer,34,Personal Travel,Eco,528,4,4,4,3,3,4,3,3,5,5,5,5,1,3,40,36.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.10077047850770479,-0.6601699308801873
96078,Male,Loyal Customer,47,Personal Travel,Eco,1090,3,1,3,3,3,3,5,3,1,4,3,4,3,3,0,3.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.21472019464720193,-0.09591931361204645
71088,Male,Loyal Customer,21,Personal Travel,Eco,802,2,5,2,4,4,2,1,4,5,5,4,3,5,4,1,5.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]",0.15632603406326034,-0.3850726548455421
84660,Female,disloyal Customer,25,Business travel,Business,2182,1,0,1,3,5,1,5,5,5,5,4,4,5,5,7,5.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.43613138686131386,1.0004537718982913
74934,Female,Loyal Customer,53,Business travel,Eco,2586,2,1,3,1,5,3,4,2,2,2,2,4,2,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.5180454176804542,1.4060716533508337
42630,Female,Loyal Customer,42,Business travel,Business,2629,1,1,1,1,5,4,4,1,1,1,1,3,1,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.5267639902676399,1.449243853604446
126651,Female,Loyal Customer,51,Personal Travel,Eco,602,2,3,2,3,4,3,1,2,2,2,2,1,2,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.11577453365774534,-0.5858735862576919
48839,Male,Loyal Customer,15,Personal Travel,Business,89,3,5,3,3,4,3,4,4,4,4,5,4,5,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.011759935117599351,-1.100927975329856
100858,Female,Loyal Customer,38,Business travel,Eco Plus,311,2,3,3,3,2,2,2,2,1,3,4,1,3,2,0,25.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(-0.001, 2.0]",0.05677210056772101,-0.8780389414623698
124745,Male,disloyal Customer,26,Business travel,Business,280,3,4,3,4,4,3,1,4,5,3,4,3,5,4,36,29.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.05048661800486618,-0.909163085831253
104201,Female,Loyal Customer,60,Personal Travel,Eco,1310,3,5,3,3,3,4,5,4,4,3,4,5,4,3,58,44.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.2593268450932685,0.12496171094131829
20026,Male,disloyal Customer,34,Business travel,Business,473,4,4,4,1,3,4,3,3,5,4,3,1,5,3,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.08961881589618816,-0.7153901870185285
22793,Female,disloyal Customer,29,Business travel,Eco,170,2,3,2,3,4,2,1,4,2,3,3,1,3,4,0,12.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]",0.028183292781832927,-1.0196035981079354
20396,Female,Loyal Customer,47,Personal Travel,Eco,459,3,4,3,3,4,4,5,1,1,3,1,3,1,5,35,12.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(19.0, 1017.0]",0.0867802108678021,-0.729446252217379
24424,Female,Loyal Customer,31,Business travel,Business,634,1,2,2,2,1,1,1,1,3,3,3,3,4,1,45,53.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.12226277372262774,-0.553745437231748
67798,Female,disloyal Customer,42,Business travel,Business,1464,2,3,3,5,5,2,4,5,5,5,4,4,4,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.29055150040551503,0.2795784281286736
92571,Male,disloyal Customer,22,Business travel,Eco,1324,2,1,1,3,2,2,1,2,3,5,4,4,4,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.2621654501216545,0.13901777614016878
311,Male,disloyal Customer,26,Business travel,Business,821,2,2,2,3,4,2,4,4,4,5,4,5,4,4,10,5.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.16017842660178427,-0.3659965663613879
10741,Male,Loyal Customer,18,Business travel,Business,2935,2,4,4,4,1,1,2,1,2,3,4,2,3,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.5888077858880778,1.756469278665035
11101,Female,Loyal Customer,47,Personal Travel,Eco,216,1,4,1,4,2,4,4,4,4,1,4,2,4,1,4,12.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.03751013787510138,-0.973419383883141
31339,Male,Loyal Customer,47,Personal Travel,Eco,1062,3,1,3,3,4,3,4,4,4,5,3,1,3,4,7,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.20904298459042986,-0.12403144400974742
351,Male,Loyal Customer,57,Business travel,Business,821,2,2,2,2,3,4,3,2,2,2,2,1,2,2,31,30.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.16017842660178427,-0.3659965663613879
74889,Male,Loyal Customer,34,Personal Travel,Business,2475,1,5,1,3,4,5,4,1,1,1,1,5,1,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.4955393349553934,1.2946271364170907
36687,Female,Loyal Customer,32,Personal Travel,Eco,1249,2,4,2,3,1,2,1,1,4,5,3,4,4,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.24695863746958638,0.06371742686061262
49173,Female,disloyal Customer,47,Business travel,Eco,447,1,5,1,4,2,1,2,2,4,5,4,3,5,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.08434712084347121,-0.7414943081021079
115336,Male,disloyal Customer,39,Business travel,Eco,308,4,1,4,4,2,4,2,2,2,4,3,4,4,2,40,38.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.056163828061638284,-0.881050955433552
110619,Female,Loyal Customer,43,Business travel,Business,719,3,5,5,5,4,3,3,2,1,3,2,3,1,3,130,134.0,neutral or dissatisfied,"(101.1, 202.2]","(101.7, 203.4]","(19.0, 1011.0]","(19.0, 1017.0]",0.13949716139497162,-0.4684050413815843
123794,Male,disloyal Customer,24,Business travel,Eco,544,1,0,1,3,3,1,3,3,3,4,4,4,4,3,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.10401459854014598,-0.6441058563672153
97860,Male,Loyal Customer,67,Personal Travel,Business,616,3,5,3,1,1,3,5,3,3,3,3,5,3,1,27,26.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.11861313868613138,-0.5718175210588414
56343,Female,disloyal Customer,59,Business travel,Eco,200,2,1,2,4,4,2,4,4,1,2,3,1,4,4,11,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.03426601784266018,-0.989483458396113
81085,Male,disloyal Customer,39,Business travel,Eco,531,1,2,1,4,5,1,5,5,4,5,3,1,4,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.10137875101378752,-0.657157916909005
34308,Male,Loyal Customer,53,Personal Travel,Eco,280,4,5,4,3,2,4,2,2,5,4,4,3,4,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.05048661800486618,-0.909163085831253
59490,Male,Loyal Customer,46,Personal Travel,Eco,901,2,5,2,2,1,2,1,1,2,3,1,2,5,1,25,13.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(19.0, 1017.0]",0.17639902676399027,-0.285676193796528
99897,Male,Loyal Customer,48,Personal Travel,Eco,738,1,5,1,4,2,1,2,2,5,5,5,3,5,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.14334955393349555,-0.44932895289743
126481,Female,Loyal Customer,34,Business travel,Business,1849,4,5,5,5,2,4,4,4,4,4,4,2,4,2,0,8.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]",0.3686131386861314,0.6661202210970619
43073,Male,Loyal Customer,58,Personal Travel,Eco,236,2,5,2,2,4,2,4,4,5,2,5,5,5,4,5,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(2.0, 19.0]",0.04156528791565288,-0.9533392907419259
11608,Female,Loyal Customer,9,Personal Travel,Eco,657,2,5,2,4,2,2,2,2,4,2,2,5,1,2,18,12.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(2.0, 19.0]",0.12692619626926196,-0.5306533301193507
3724,Male,Loyal Customer,29,Personal Travel,Eco,431,3,1,3,2,1,3,1,1,4,4,2,2,1,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.08110300081103,-0.7575583826150799
125394,Male,disloyal Customer,45,Business travel,Business,1440,3,3,3,3,5,3,5,5,4,3,4,5,4,5,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.2856853203568532,0.25548231635921564
51162,Female,Loyal Customer,35,Personal Travel,Eco,86,3,4,3,1,2,3,2,2,3,5,5,4,5,2,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.011151662611516627,-1.1039399893010382
732,Female,Loyal Customer,55,Business travel,Business,3446,1,2,5,2,1,3,3,2,2,2,1,4,2,1,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.6924168694241687,2.269515658423078
9551,Female,disloyal Customer,29,Business travel,Business,228,3,3,3,3,4,3,3,4,4,2,5,4,5,4,0,1.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.039943227899432276,-0.961371327998412
61567,Male,Loyal Customer,21,Personal Travel,Eco,599,1,3,0,1,1,0,1,1,5,3,1,5,1,1,1,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.1151662611516626,-0.5888856002288742
119277,Female,disloyal Customer,50,Business travel,Business,214,2,2,2,4,4,2,4,4,4,2,4,3,4,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.03710462287104623,-0.9754273931972625
83037,Male,disloyal Customer,24,Business travel,Eco,983,4,4,4,4,1,4,3,1,2,3,3,3,4,1,0,12.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(3.0, 19.0]","(-0.001, 2.0]",0.19302514193025141,-0.20334781191754658
38490,Female,Loyal Customer,37,Personal Travel,Business,2475,3,2,3,3,1,3,3,3,3,3,3,1,3,4,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.4955393349553934,1.2946271364170907
4560,Female,Loyal Customer,52,Business travel,Eco,561,3,1,1,1,3,3,4,3,3,3,3,1,3,3,0,0.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(-0.001, 3.0]","(-0.001, 2.0]",0.10746147607461476,-0.6270377771971826
6716,Male,Loyal Customer,39,Personal Travel,Eco,438,2,4,2,3,1,2,1,1,3,2,3,3,4,1,35,45.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.08252230332522303,-0.7505303500156547
117624,Female,Loyal Customer,32,Personal Travel,Eco,347,3,4,3,4,1,3,1,1,4,4,4,3,5,1,53,50.0,neutral or dissatisfied,"(-0.001, 101.1]","(-0.001, 101.7]","(19.0, 1011.0]","(19.0, 1017.0]",0.0640713706407137,-0.8418947738081829
