id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
19479,Male,Loyal Customer,28,Business travel,Business,3989,2,3,3,3,3,3,2,3,3,3,4,4,4,3,62,88.0,neutral or dissatisfied
62442,Female,Loyal Customer,41,Personal Travel,Eco,1943,2,5,1,1,1,4,5,3,5,5,4,5,3,5,165,130.0,neutral or dissatisfied
105394,Female,Loyal Customer,62,Personal Travel,Eco,369,3,4,3,2,4,3,4,3,3,3,3,1,3,5,5,7.0,neutral or dissatisfied
92544,Male,Loyal Customer,32,Personal Travel,Eco,2092,3,4,3,5,4,3,5,4,3,4,4,5,4,4,8,0.0,neutral or dissatisfied
39603,Male,Loyal Customer,60,Personal Travel,Eco,954,2,3,2,2,2,2,2,2,5,3,5,3,5,2,6,0.0,neutral or dissatisfied
41395,Female,disloyal Customer,34,Business travel,Eco,563,1,3,1,3,2,1,2,2,3,3,4,4,4,2,0,0.0,neutral or dissatisfied
84296,Female,Loyal Customer,34,Business travel,Business,235,2,5,5,5,4,4,4,2,2,2,2,4,2,1,0,0.0,neutral or dissatisfied
5668,Male,disloyal Customer,47,Business travel,Eco,436,3,3,3,3,4,3,4,4,3,4,3,1,4,4,16,22.0,neutral or dissatisfied
109562,Male,Loyal Customer,26,Personal Travel,Eco,861,2,4,2,4,4,2,4,4,4,2,5,5,5,4,0,0.0,neutral or dissatisfied
112160,Female,Loyal Customer,25,Business travel,Business,895,1,3,1,1,1,1,1,1,3,4,4,4,3,1,38,34.0,neutral or dissatisfied
76085,Male,Loyal Customer,33,Business travel,Business,2688,1,5,2,5,1,1,1,1,3,4,3,4,4,1,14,8.0,neutral or dissatisfied
20817,Male,disloyal Customer,35,Business travel,Eco,515,4,3,5,3,1,5,1,1,1,3,4,3,3,1,0,0.0,neutral or dissatisfied
123917,Male,Loyal Customer,14,Personal Travel,Eco,546,1,5,2,3,2,2,5,2,4,2,1,4,1,2,18,23.0,neutral or dissatisfied
129383,Female,Loyal Customer,15,Personal Travel,Eco,2454,4,5,4,4,5,4,5,5,4,4,3,4,4,5,0,0.0,neutral or dissatisfied
6208,Male,disloyal Customer,34,Business travel,Business,462,1,1,1,1,5,1,3,5,5,3,5,5,4,5,0,0.0,neutral or dissatisfied
83095,Male,Loyal Customer,53,Personal Travel,Eco,1084,2,4,2,4,2,2,2,2,4,4,4,5,5,2,0,0.0,neutral or dissatisfied
42427,Female,Loyal Customer,54,Personal Travel,Eco Plus,451,3,4,2,4,3,5,5,1,1,2,1,5,1,5,0,0.0,neutral or dissatisfied
20267,Female,Loyal Customer,61,Business travel,Business,2947,2,2,2,2,3,4,4,2,2,2,2,4,2,2,29,15.0,neutral or dissatisfied
51046,Female,Loyal Customer,15,Personal Travel,Eco,78,3,1,3,3,4,3,4,4,1,4,4,2,3,4,0,0.0,neutral or dissatisfied
79784,Female,Loyal Customer,43,Personal Travel,Business,1005,3,4,3,5,5,5,4,1,1,3,1,3,1,5,0,0.0,neutral or dissatisfied
27091,Male,Loyal Customer,31,Personal Travel,Business,1721,3,3,3,2,5,3,3,5,3,5,2,1,2,5,66,54.0,neutral or dissatisfied
28990,Male,Loyal Customer,13,Business travel,Business,2627,3,5,5,5,3,3,3,3,4,2,4,2,3,3,0,0.0,neutral or dissatisfied
21688,Female,Loyal Customer,52,Business travel,Eco,708,3,1,1,1,3,3,3,1,5,4,3,3,2,3,219,214.0,neutral or dissatisfied
50312,Male,Loyal Customer,54,Business travel,Eco,86,3,1,5,1,3,3,3,3,1,3,4,3,3,3,94,118.0,neutral or dissatisfied
17924,Male,Loyal Customer,69,Personal Travel,Eco,789,4,4,3,4,2,3,4,2,5,2,5,5,4,2,0,19.0,neutral or dissatisfied
126000,Male,Loyal Customer,19,Personal Travel,Business,507,3,5,3,3,5,3,5,5,4,2,5,3,5,5,7,16.0,neutral or dissatisfied
108627,Male,Loyal Customer,29,Business travel,Eco,1547,4,3,3,3,4,4,4,4,1,4,4,4,3,4,5,6.0,neutral or dissatisfied
48156,Male,Loyal Customer,72,Business travel,Business,3196,2,5,5,5,1,4,4,2,2,2,2,1,2,4,4,3.0,neutral or dissatisfied
20074,Female,Loyal Customer,34,Personal Travel,Eco,528,4,4,4,3,3,4,3,3,5,5,5,5,1,3,40,36.0,neutral or dissatisfied
96078,Male,Loyal Customer,47,Personal Travel,Eco,1090,3,1,3,3,3,3,5,3,1,4,3,4,3,3,0,3.0,neutral or dissatisfied
71088,Male,Loyal Customer,21,Personal Travel,Eco,802,2,5,2,4,4,2,1,4,5,5,4,3,5,4,1,5.0,neutral or dissatisfied
84660,Female,disloyal Customer,25,Business travel,Business,2182,1,0,1,3,5,1,5,5,5,5,4,4,5,5,7,5.0,neutral or dissatisfied
74934,Female,Loyal Customer,53,Business travel,Eco,2586,2,1,3,1,5,3,4,2,2,2,2,4,2,2,0,0.0,neutral or dissatisfied
42630,Female,Loyal Customer,42,Business travel,Business,2629,1,1,1,1,5,4,4,1,1,1,1,3,1,2,0,0.0,neutral or dissatisfied
126651,Female,Loyal Customer,51,Personal Travel,Eco,602,2,3,2,3,4,3,1,2,2,2,2,1,2,4,0,0.0,neutral or dissatisfied
48839,Male,Loyal Customer,15,Personal Travel,Business,89,3,5,3,3,4,3,4,4,4,4,5,4,5,4,0,0.0,neutral or dissatisfied
100858,Female,Loyal Customer,38,Business travel,Eco Plus,311,2,3,3,3,2,2,2,2,1,3,4,1,3,2,0,25.0,neutral or dissatisfied
124745,Male,disloyal Customer,26,Business travel,Business,280,3,4,3,4,4,3,1,4,5,3,4,3,5,4,36,29.0,neutral or dissatisfied
104201,Female,Loyal Customer,60,Personal Travel,Eco,1310,3,5,3,3,3,4,5,4,4,3,4,5,4,3,58,44.0,neutral or dissatisfied
20026,Male,disloyal Customer,34,Business travel,Business,473,4,4,4,1,3,4,3,3,5,4,3,1,5,3,0,0.0,neutral or dissatisfied
22793,Female,disloyal Customer,29,Business travel,Eco,170,2,3,2,3,4,2,1,4,2,3,3,1,3,4,0,12.0,neutral or dissatisfied
20396,Female,Loyal Customer,47,Personal Travel,Eco,459,3,4,3,3,4,4,5,1,1,3,1,3,1,5,35,12.0,neutral or dissatisfied
24424,Female,Loyal Customer,31,Business travel,Business,634,1,2,2,2,1,1,1,1,3,3,3,3,4,1,45,53.0,neutral or dissatisfied
67798,Female,disloyal Customer,42,Business travel,Business,1464,2,3,3,5,5,2,4,5,5,5,4,4,4,5,0,0.0,neutral or dissatisfied
92571,Male,disloyal Customer,22,Business travel,Eco,1324,2,1,1,3,2,2,1,2,3,5,4,4,4,2,0,0.0,neutral or dissatisfied
311,Male,disloyal Customer,26,Business travel,Business,821,2,2,2,3,4,2,4,4,4,5,4,5,4,4,10,5.0,neutral or dissatisfied
10741,Male,Loyal Customer,18,Business travel,Business,2935,2,4,4,4,1,1,2,1,2,3,4,2,3,1,0,0.0,neutral or dissatisfied
11101,Female,Loyal Customer,47,Personal Travel,Eco,216,1,4,1,4,2,4,4,4,4,1,4,2,4,1,4,12.0,neutral or dissatisfied
31339,Male,Loyal Customer,47,Personal Travel,Eco,1062,3,1,3,3,4,3,4,4,4,5,3,1,3,4,7,0.0,neutral or dissatisfied
351,Male,Loyal Customer,57,Business travel,Business,821,2,2,2,2,3,4,3,2,2,2,2,1,2,2,31,30.0,neutral or dissatisfied
74889,Male,Loyal Customer,34,Personal Travel,Business,2475,1,5,1,3,4,5,4,1,1,1,1,5,1,4,0,,neutral or dissatisfied
36687,Female,Loyal Customer,32,Personal Travel,Eco,1249,2,4,2,3,1,2,1,1,4,5,3,4,4,1,0,0.0,neutral or dissatisfied
49173,Female,disloyal Customer,47,Business travel,Eco,447,1,5,1,4,2,1,2,2,4,5,4,3,5,2,0,0.0,neutral or dissatisfied
115336,Male,disloyal Customer,39,Business travel,Eco,308,4,1,4,4,2,4,2,2,2,4,3,4,4,2,40,38.0,neutral or dissatisfied
110619,Female,Loyal Customer,43,Business travel,Business,719,3,5,5,5,4,3,3,2,1,3,2,3,1,3,130,134.0,neutral or dissatisfied
123794,Male,disloyal Customer,24,Business travel,Eco,544,1,0,1,3,3,1,3,3,3,4,4,4,4,3,0,0.0,neutral or dissatisfied
97860,Male,Loyal Customer,67,Personal Travel,Business,616,3,5,3,1,1,3,5,3,3,3,3,5,3,1,27,26.0,neutral or dissatisfied
56343,Female,disloyal Customer,59,Business travel,Eco,200,2,1,2,4,4,2,4,4,1,2,3,1,4,4,11,0.0,neutral or dissatisfied
81085,Male,disloyal Customer,39,Business travel,Eco,531,1,2,1,4,5,1,5,5,4,5,3,1,4,5,0,0.0,neutral or dissatisfied
34308,Male,Loyal Customer,53,Personal Travel,Eco,280,4,5,4,3,2,4,2,2,5,4,4,3,4,2,0,0.0,neutral or dissatisfied
59490,Male,Loyal Customer,46,Personal Travel,Eco,901,2,5,2,2,1,2,1,1,2,3,1,2,5,1,25,13.0,neutral or dissatisfied
99897,Male,Loyal Customer,48,Personal Travel,Eco,738,1,5,1,4,2,1,2,2,5,5,5,3,5,2,0,0.0,neutral or dissatisfied
126481,Female,Loyal Customer,34,Business travel,Business,1849,4,5,5,5,2,4,4,4,4,4,4,2,4,2,0,8.0,neutral or dissatisfied
43073,Male,Loyal Customer,58,Personal Travel,Eco,236,2,5,2,2,4,2,4,4,5,2,5,5,5,4,5,0.0,neutral or dissatisfied
11608,Female,Loyal Customer,9,Personal Travel,Eco,657,2,5,2,4,2,2,2,2,4,2,2,5,1,2,18,12.0,neutral or dissatisfied
3724,Male,Loyal Customer,29,Personal Travel,Eco,431,3,1,3,2,1,3,1,1,4,4,2,2,1,1,0,0.0,neutral or dissatisfied
125394,Male,disloyal Customer,45,Business travel,Business,1440,3,3,3,3,5,3,5,5,4,3,4,5,4,5,0,0.0,neutral or dissatisfied
51162,Female,Loyal Customer,35,Personal Travel,Eco,86,3,4,3,1,2,3,2,2,3,5,5,4,5,2,0,0.0,neutral or dissatisfied
732,Female,Loyal Customer,55,Business travel,Business,3446,1,2,5,2,1,3,3,2,2,2,1,4,2,1,0,0.0,neutral or dissatisfied
9551,Female,disloyal Customer,29,Business travel,Business,228,3,3,3,3,4,3,3,4,4,2,5,4,5,4,0,1.0,neutral or dissatisfied
61567,Male,Loyal Customer,21,Personal Travel,Eco,599,1,3,0,1,1,0,1,1,5,3,1,5,1,1,1,0.0,neutral or dissatisfied
119277,Female,disloyal Customer,50,Business travel,Business,214,2,2,2,4,4,2,4,4,4,2,4,3,4,4,0,0.0,neutral or dissatisfied
83037,Male,disloyal Customer,24,Business travel,Eco,983,4,4,4,4,1,4,3,1,2,3,3,3,4,1,0,12.0,neutral or dissatisfied
38490,Female,Loyal Customer,37,Personal Travel,Business,2475,3,2,3,3,1,3,3,3,3,3,3,1,3,4,0,0.0,neutral or dissatisfied
4560,Female,Loyal Customer,52,Business travel,Eco,561,3,1,1,1,3,3,4,3,3,3,3,1,3,3,0,0.0,neutral or dissatisfied
6716,Male,Loyal Customer,39,Personal Travel,Eco,438,2,4,2,3,1,2,1,1,3,2,3,3,4,1,35,45.0,neutral or dissatisfied
117624,Female,Loyal Customer,32,Personal Travel,Eco,347,3,4,3,4,1,3,1,1,4,4,4,3,5,1,53,50.0,neutral or dissatisfied
2994,Female,Loyal Customer,49,Business travel,Eco,862,2,2,2,2,1,3,4,2,2,2,2,2,2,3,0,21.0,neutral or dissatisfied
83889,Female,Loyal Customer,47,Personal Travel,Eco Plus,1670,4,4,5,2,3,2,4,2,2,5,2,2,2,5,0,0.0,neutral or dissatisfied
94744,Female,Loyal Customer,53,Business travel,Eco,323,1,0,0,4,1,3,3,5,5,1,5,1,5,2,2,7.0,neutral or dissatisfied
129384,Female,Loyal Customer,33,Personal Travel,Eco,2454,1,5,0,3,3,0,3,3,5,4,5,3,5,3,0,0.0,neutral or dissatisfied
117849,Male,Loyal Customer,38,Business travel,Eco,2133,4,2,2,2,4,4,4,4,4,1,3,3,4,4,8,6.0,neutral or dissatisfied
112505,Female,Loyal Customer,15,Personal Travel,Eco,967,3,5,3,4,2,3,2,2,4,5,5,5,4,2,19,3.0,neutral or dissatisfied
128830,Male,Loyal Customer,60,Business travel,Business,2586,2,1,1,1,2,2,2,1,2,2,3,2,4,2,0,0.0,neutral or dissatisfied
110899,Male,Loyal Customer,41,Business travel,Business,404,1,2,2,2,4,4,4,1,1,1,1,1,1,2,9,2.0,neutral or dissatisfied
34250,Female,disloyal Customer,49,Business travel,Eco,1666,3,3,3,3,2,3,4,2,2,1,3,2,4,2,48,94.0,neutral or dissatisfied
117601,Female,Loyal Customer,45,Business travel,Eco,872,2,5,5,5,5,3,4,2,2,2,2,1,2,2,0,0.0,neutral or dissatisfied
3389,Female,Loyal Customer,37,Business travel,Business,3213,1,4,4,4,1,4,3,1,1,1,1,3,1,2,0,25.0,neutral or dissatisfied
32136,Female,disloyal Customer,25,Business travel,Eco,216,2,0,2,3,4,2,4,4,4,5,3,1,3,4,0,5.0,neutral or dissatisfied
84502,Male,disloyal Customer,40,Business travel,Business,2556,4,4,4,3,5,4,5,5,3,4,5,3,5,5,1,0.0,neutral or dissatisfied
2352,Male,Loyal Customer,36,Personal Travel,Business,925,4,3,5,4,4,3,3,2,2,5,2,3,2,2,6,13.0,neutral or dissatisfied
3964,Male,Loyal Customer,34,Personal Travel,Eco,764,3,5,3,3,5,3,5,5,4,2,4,3,5,5,6,0.0,neutral or dissatisfied
55424,Male,disloyal Customer,13,Business travel,Eco,2521,1,1,1,3,1,4,4,4,2,3,4,4,3,4,38,42.0,neutral or dissatisfied
55747,Male,disloyal Customer,36,Business travel,Business,1737,1,1,1,3,1,1,1,1,4,5,4,4,5,1,0,0.0,neutral or dissatisfied
50710,Male,Loyal Customer,9,Personal Travel,Eco,89,2,4,2,1,5,2,5,5,4,3,4,5,4,5,0,9.0,neutral or dissatisfied
47837,Male,disloyal Customer,38,Business travel,Eco,838,1,1,1,3,2,1,2,2,3,3,4,4,4,2,0,0.0,neutral or dissatisfied
37380,Female,disloyal Customer,26,Business travel,Eco,1028,3,2,2,3,3,2,3,3,1,4,3,2,4,3,108,100.0,neutral or dissatisfied
19694,Female,disloyal Customer,36,Business travel,Eco,409,1,0,1,5,5,1,5,5,5,4,4,2,4,5,0,0.0,neutral or dissatisfied
110361,Female,Loyal Customer,43,Business travel,Business,2473,2,4,4,4,2,2,3,2,2,2,2,2,2,2,0,0.0,neutral or dissatisfied
20729,Female,Loyal Customer,42,Personal Travel,Eco,765,1,4,1,2,5,4,4,5,5,1,5,5,5,3,21,19.0,neutral or dissatisfied
15810,Female,Loyal Customer,47,Personal Travel,Eco,246,1,4,1,2,5,5,5,3,3,1,3,3,3,3,29,15.0,neutral or dissatisfied
19672,Female,Loyal Customer,44,Personal Travel,Business,475,3,2,3,3,1,4,4,1,1,3,1,2,1,3,0,0.0,neutral or dissatisfied
106162,Male,Loyal Customer,60,Personal Travel,Eco,302,2,4,2,4,3,2,3,3,5,1,1,5,2,3,0,0.0,neutral or dissatisfied
91637,Female,Loyal Customer,36,Personal Travel,Eco,1199,1,4,1,1,4,1,4,4,1,1,4,1,4,4,0,4.0,neutral or dissatisfied
46689,Female,Loyal Customer,36,Personal Travel,Eco,125,2,3,2,2,1,2,1,1,1,5,2,1,2,1,71,78.0,neutral or dissatisfied
71729,Female,disloyal Customer,37,Business travel,Eco Plus,607,2,3,3,4,3,3,1,3,3,4,5,3,5,3,0,0.0,neutral or dissatisfied
82489,Male,Loyal Customer,47,Business travel,Business,488,2,4,4,4,2,3,3,2,2,2,2,2,2,2,17,4.0,neutral or dissatisfied
14540,Male,Loyal Customer,55,Business travel,Business,3761,1,4,4,4,2,4,3,1,1,1,1,3,1,2,0,5.0,neutral or dissatisfied
13304,Female,Loyal Customer,25,Personal Travel,Eco Plus,468,1,2,1,3,1,1,1,1,4,2,3,3,4,1,21,30.0,neutral or dissatisfied
10344,Female,disloyal Customer,39,Business travel,Business,247,2,2,2,1,2,2,2,2,3,5,4,4,5,2,94,95.0,neutral or dissatisfied
54025,Female,Loyal Customer,45,Personal Travel,Eco,1091,4,1,4,3,5,3,4,4,4,4,4,2,4,2,2,0.0,neutral or dissatisfied
33547,Male,disloyal Customer,61,Business travel,Eco,399,3,3,3,5,4,3,1,4,4,2,3,1,3,4,1,4.0,neutral or dissatisfied
70110,Male,Loyal Customer,25,Business travel,Eco,460,3,4,4,4,3,3,2,3,3,5,3,4,3,3,7,0.0,neutral or dissatisfied
104675,Female,Loyal Customer,15,Personal Travel,Eco,641,3,5,3,3,2,3,2,2,5,3,5,4,5,2,0,0.0,neutral or dissatisfied
98382,Female,Loyal Customer,37,Personal Travel,Business,1131,2,2,2,3,4,4,3,3,3,2,3,2,3,1,0,0.0,neutral or dissatisfied
26031,Male,Loyal Customer,61,Personal Travel,Eco,321,2,3,4,5,4,4,4,4,5,4,1,5,2,4,3,2.0,neutral or dissatisfied
9855,Female,disloyal Customer,39,Business travel,Eco,242,3,0,3,2,3,3,3,3,2,3,1,4,3,3,0,0.0,neutral or dissatisfied
102435,Male,Loyal Customer,43,Personal Travel,Eco,258,3,5,0,4,3,0,3,3,2,4,3,4,3,3,0,0.0,neutral or dissatisfied
117166,Male,Loyal Customer,37,Personal Travel,Eco,647,3,3,3,3,2,3,5,2,5,1,3,3,1,2,67,53.0,neutral or dissatisfied
36050,Female,disloyal Customer,20,Business travel,Eco,399,2,3,2,2,4,2,4,4,4,1,3,4,2,4,17,20.0,neutral or dissatisfied
38674,Female,Loyal Customer,26,Personal Travel,Eco,2611,3,4,3,4,5,3,5,5,1,1,4,2,3,5,10,0.0,neutral or dissatisfied
23562,Female,Loyal Customer,25,Personal Travel,Eco,637,1,1,1,4,3,1,3,3,1,5,4,4,4,3,0,0.0,neutral or dissatisfied
31835,Female,Loyal Customer,46,Personal Travel,Eco,2762,2,4,2,4,2,4,4,2,1,4,4,4,3,4,6,0.0,neutral or dissatisfied
49428,Male,disloyal Customer,32,Business travel,Eco,209,2,5,2,4,4,2,4,4,5,5,1,1,1,4,0,11.0,neutral or dissatisfied
86062,Male,disloyal Customer,58,Business travel,Eco Plus,447,1,0,0,4,5,1,5,5,1,4,3,1,3,5,1,0.0,neutral or dissatisfied
66596,Female,disloyal Customer,19,Business travel,Eco,761,1,1,1,4,5,1,5,5,3,1,3,3,4,5,0,7.0,neutral or dissatisfied
45727,Male,Loyal Customer,63,Personal Travel,Eco,852,1,4,1,4,1,1,1,1,5,5,4,3,4,1,48,77.0,neutral or dissatisfied
76115,Male,Loyal Customer,53,Personal Travel,Business,689,2,4,2,3,5,3,3,5,5,2,3,3,5,3,0,0.0,neutral or dissatisfied
122468,Male,Loyal Customer,52,Business travel,Business,2205,4,4,4,4,1,2,3,4,4,4,4,3,4,1,14,8.0,neutral or dissatisfied
55726,Male,Loyal Customer,52,Business travel,Business,3509,3,3,3,3,5,4,3,3,3,3,3,2,3,2,0,0.0,neutral or dissatisfied
82939,Female,Loyal Customer,44,Personal Travel,Eco Plus,594,3,1,3,2,5,1,1,2,2,3,2,1,2,3,0,0.0,neutral or dissatisfied
60232,Male,Loyal Customer,16,Business travel,Eco,1546,3,3,3,3,3,3,2,3,2,1,3,3,4,3,17,7.0,neutral or dissatisfied
9789,Male,Loyal Customer,49,Personal Travel,Eco,383,4,4,4,1,2,4,2,2,3,2,4,4,5,2,0,0.0,neutral or dissatisfied
88888,Female,Loyal Customer,47,Business travel,Eco,859,3,5,4,5,1,2,3,3,3,3,3,2,3,3,2,7.0,neutral or dissatisfied
66307,Female,Loyal Customer,48,Business travel,Eco,852,1,4,4,4,2,3,3,1,1,1,1,2,1,2,5,12.0,neutral or dissatisfied
73552,Male,Loyal Customer,71,Business travel,Eco Plus,594,2,5,5,5,2,2,2,2,3,5,4,2,4,2,41,35.0,neutral or dissatisfied
90357,Female,disloyal Customer,61,Business travel,Business,271,3,3,3,4,2,3,2,2,4,5,4,1,3,2,0,0.0,neutral or dissatisfied
5576,Female,Loyal Customer,15,Personal Travel,Eco,588,1,4,1,1,4,1,4,4,3,3,5,4,4,4,0,42.0,neutral or dissatisfied
27458,Female,disloyal Customer,28,Business travel,Eco,954,2,2,2,3,1,2,1,1,5,2,5,3,3,1,0,0.0,neutral or dissatisfied
86812,Female,Loyal Customer,77,Business travel,Business,2651,3,5,5,5,2,3,3,3,3,3,3,3,3,4,0,0.0,neutral or dissatisfied
43718,Male,Loyal Customer,49,Personal Travel,Eco,489,2,3,2,3,1,2,4,1,4,3,4,4,3,1,0,3.0,neutral or dissatisfied
2448,Female,Loyal Customer,23,Personal Travel,Eco Plus,604,3,4,3,4,3,3,3,3,4,4,5,4,4,3,20,23.0,neutral or dissatisfied
13790,Male,Loyal Customer,54,Personal Travel,Eco,837,2,5,2,3,3,2,2,3,3,3,5,5,5,3,0,0.0,neutral or dissatisfied
96590,Male,Loyal Customer,72,Business travel,Business,2241,4,4,4,4,3,2,2,4,4,4,4,1,4,4,61,60.0,neutral or dissatisfied
41048,Female,Loyal Customer,50,Personal Travel,Eco,1087,3,3,3,4,5,5,4,3,3,3,3,3,3,3,0,0.0,neutral or dissatisfied
6276,Male,Loyal Customer,23,Business travel,Business,585,1,2,1,2,1,1,1,1,1,3,3,3,4,1,37,47.0,neutral or dissatisfied
7667,Female,disloyal Customer,32,Business travel,Eco,767,3,3,3,3,4,3,4,4,3,4,3,2,4,4,124,108.0,neutral or dissatisfied
30961,Female,Loyal Customer,31,Personal Travel,Eco,1024,2,4,2,3,5,2,5,5,4,3,1,4,5,5,0,2.0,neutral or dissatisfied
100071,Female,Loyal Customer,70,Personal Travel,Eco,281,3,3,3,1,2,3,2,2,2,3,2,4,2,3,75,86.0,neutral or dissatisfied
26270,Female,Loyal Customer,62,Business travel,Eco,859,3,2,2,2,2,3,4,3,3,3,3,2,3,1,28,2.0,neutral or dissatisfied
56583,Male,Loyal Customer,51,Business travel,Eco,1068,3,5,5,5,3,3,3,3,2,1,4,4,4,3,0,0.0,neutral or dissatisfied
3178,Male,Loyal Customer,25,Business travel,Business,693,2,2,2,2,2,2,2,2,1,4,3,3,3,2,0,0.0,neutral or dissatisfied
29594,Female,Loyal Customer,8,Business travel,Business,3039,1,4,4,4,1,1,1,1,1,1,3,4,4,1,0,0.0,neutral or dissatisfied
96097,Female,Loyal Customer,15,Personal Travel,Eco,775,2,5,2,2,2,2,2,2,4,5,5,3,4,2,3,2.0,neutral or dissatisfied
5922,Female,Loyal Customer,33,Personal Travel,Eco,173,2,5,2,3,2,2,2,2,5,5,4,4,4,2,0,0.0,neutral or dissatisfied
114,Female,Loyal Customer,51,Business travel,Business,562,2,3,3,3,1,4,4,2,2,3,2,4,2,3,0,15.0,neutral or dissatisfied
120284,Female,disloyal Customer,44,Business travel,Eco,1176,3,3,3,4,1,3,1,1,4,5,4,1,3,1,10,27.0,neutral or dissatisfied
85771,Female,Loyal Customer,11,Business travel,Business,666,2,2,3,3,2,2,2,2,4,4,4,2,3,2,1,9.0,neutral or dissatisfied
50652,Female,Loyal Customer,40,Personal Travel,Eco,156,4,3,4,4,2,4,2,2,4,1,3,3,3,2,0,0.0,neutral or dissatisfied
102753,Female,Loyal Customer,57,Personal Travel,Eco Plus,365,1,5,1,2,1,5,5,3,4,5,4,5,3,5,199,192.0,neutral or dissatisfied
111568,Male,Loyal Customer,43,Business travel,Eco,883,1,1,1,1,1,1,1,1,4,1,4,2,3,1,0,0.0,neutral or dissatisfied
21124,Female,Loyal Customer,61,Personal Travel,Eco,106,3,4,3,4,2,1,1,5,5,3,5,1,5,1,50,51.0,neutral or dissatisfied
36144,Female,Loyal Customer,22,Business travel,Eco Plus,1562,3,3,3,3,3,3,4,3,2,5,4,2,3,3,0,20.0,neutral or dissatisfied
84774,Male,disloyal Customer,32,Business travel,Business,534,3,3,3,4,1,3,1,1,3,3,4,4,4,1,0,0.0,neutral or dissatisfied
17241,Male,Loyal Customer,54,Business travel,Business,2888,4,3,3,3,2,3,4,4,4,4,4,3,4,4,40,27.0,neutral or dissatisfied
51053,Female,Loyal Customer,47,Personal Travel,Eco,109,1,4,1,2,5,4,5,3,3,1,5,3,3,5,0,0.0,neutral or dissatisfied
79975,Male,disloyal Customer,36,Business travel,Eco,676,2,1,1,3,1,1,1,1,3,3,3,1,3,1,199,192.0,neutral or dissatisfied
27421,Male,Loyal Customer,52,Business travel,Eco,978,3,2,2,2,3,3,3,3,2,5,3,3,4,3,0,0.0,neutral or dissatisfied
